doseg_[km],poraba_[kWh/100km],kapaciteta_[kWh],cas_polnjenja[min/100km],pospesek(0-100km/h)_[s],cena_[EUR],drzava,leto,znamka,model,link
580.0,18.3,106.0,6,3.9,118600,Švedska,2025,Polestar,5 Dual Motor,https://bestev4me.eu/ev-catalog/3298/polestar-5-dual-motor-2025
580.0,13.6,79.0,7,5.2,45970,ZDA,2025,Tesla,Model 3 Premium RWD,https://bestev4me.eu/ev-catalog/3404/tesla-model-3-premium-rwd-2025
580.0,19.8,115.0,6,2.5,550000,Italija,2026,Ferrari,Luce,https://bestev4me.eu/ev-catalog/3643/ferrari-luce-2026
580.0,15.2,88.0,7,4.7,85900,ZDA,2025,Lucid,Air Pure RWD,https://bestev4me.eu/ev-catalog/3271/lucid-air-pure-rwd-2025
580.0,13.6,79.0,7,5.2,45970,ZDA,2025,Tesla,Model 3 Long Range RWD,https://bestev4me.eu/ev-catalog/3330/tesla-model-3-long-range-rwd-2025
575.0,16.5,95.0,8,3.2,110970,ZDA,2023,Tesla,Model S Dual Motor,https://bestev4me.eu/ev-catalog/1404/tesla-model-s-dual-motor-2023
575.0,16.5,94.9,6,5.4,77250,Nemčija,2024,Audi,A6 Avant e-tron performance,https://bestev4me.eu/ev-catalog/2272/audi-a6-avant-e-tron-performance-2024
575.0,14.8,85.0,5,4.9,60285,Nemčija,2025,Mercedes-Benz,CLA 350 4MATIC,https://bestev4me.eu/ev-catalog/3140/mercedes-benz-cla-350-4matic-2025
570.0,16.6,94.9,6,4.7,79800,Nemčija,2024,Audi,A6 Sportback e-tron quattro,https://bestev4me.eu/ev-catalog/3052/audi-a6-sportback-e-tron-quattro-2024
570.0,16.8,96.0,9,6.7,,Nemčija,2024,Mercedes-Benz,EQS 350,https://bestev4me.eu/ev-catalog/2155/mercedes-benz-eqs-350-2024
565.0,17.2,97.0,5,3.7,126422,Nemčija,2024,Porsche,Taycan 4S Plus,https://bestev4me.eu/ev-catalog/2101/porsche-taycan-4s-plus-2024
565.0,15.0,85.0,5,6.8,57096,Nemčija,2025,Mercedes-Benz,CLA Shooting Brake 250+,https://bestev4me.eu/ev-catalog/3396/mercedes-benz-cla-shooting-brake-250-2025
565.0,16.8,95.0,8,2.4,120970,ZDA,2025,Tesla,Model S Plaid,https://bestev4me.eu/ev-catalog/3384/tesla-model-s-plaid-2025
565.0,17.2,97.0,5,4.6,111924,Nemčija,2024,Porsche,Taycan 4 Plus,https://bestev4me.eu/ev-catalog/3061/porsche-taycan-4-plus-2024
560.0,16.4,92.0,7,3.6,99000,ZDA,2023,Lucid,Air Touring,https://bestev4me.eu/ev-catalog/1317/lucid-air-touring-2023
