doseg_[km],poraba_[kWh/100km],kapaciteta_[kWh],cas_polnjenja[min/100km],pospesek(0-100km/h)_[s],cena_[EUR],drzava,leto,znamka,model,link
505.0,20.8,105.2,10,4.6,100100,Nemčija,2021,BMW,iX xDrive50,https://bestev4me.eu/ev-catalog/1473/bmw-ix-xdrive50-2021
500.0,17.2,86.0,9,7.1,57900,Češka,2026,Skoda,Peaq 90,https://bestev4me.eu/ev-catalog/3659/skoda-peaq-90-2026
500.0,18.8,94.0,7,4.3,71281,Nemčija,2025,Mercedes-Benz,GLC 400 4MATIC,https://bestev4me.eu/ev-catalog/3296/mercedes-benz-glc-400-4matic-2025
500.0,19.4,97.2,10,5.4,66600,Francija,2026,DS,N°7 AWD Long Range,https://bestev4me.eu/ev-catalog/3625/ds-n7-awd-long-range-2026
500.0,19.4,96.9,10,8.7,52850,Francija,2024,Peugeot,e-3008 97 kWh Long Range,https://bestev4me.eu/ev-catalog/2005/peugeot-e-3008-97-kwh-long-range-2024
500.0,19.3,96.5,5,5.4,58000,Kitajska,2025,MG,IM6 Long Range,https://bestev4me.eu/ev-catalog/3247/mg-im6-long-range-2025
500.0,17.2,86.0,8,5.5,63265,Nemčija,2025,Volkswagen,ID.7 GTX,https://bestev4me.eu/ev-catalog/3258/volkswagen-id7-gtx-2025
500.0,18.2,91.0,6,4.6,65990,Švedska,2026,Volvo,EX60 P10 AWD,https://bestev4me.eu/ev-catalog/3442/volvo-ex60-p10-awd-2026
500.0,21.3,106.5,10,4.2,58900,ZDA,2023,Fisker,Ocean Ultra,https://bestev4me.eu/ev-catalog/1710/fisker-ocean-ultra-2023
500.0,17.2,86.0,9,5.5,64635,Nemčija,2026,Volkswagen,ID.7 Tourer GTX,https://bestev4me.eu/ev-catalog/3605/volkswagen-id7-tourer-gtx-2026
500.0,17.2,86.0,9,5.4,63835,Nemčija,2026,Volkswagen,ID.7 GTX,https://bestev4me.eu/ev-catalog/3601/volkswagen-id7-gtx-2026
500.0,19.2,96.0,5,6.0,58950,Kitajska,2025,Zeekr,7X Long Range RWD,https://bestev4me.eu/ev-catalog/3082/zeekr-7x-long-range-rwd-2025
500.0,17.2,86.0,8,5.5,63955,Nemčija,2024,Volkswagen,ID.7 Tourer GTX,https://bestev4me.eu/ev-catalog/2158/volkswagen-id7-tourer-gtx-2024
500.0,16.5,82.6,6,5.9,63400,Nemčija,2026,BMW,iX3 40,https://bestev4me.eu/ev-catalog/3505/bmw-ix3-40-2026
500.0,21.7,108.4,8,6.7,110801,Nemčija,2022,Mercedes-Benz,EQS SUV 450+,https://bestev4me.eu/ev-catalog/1673/mercedes-benz-eqs-suv-450-2022
500.0,18.0,90.0,12,4.0,68500,Kitajska,2022,NIO,ET5 Long Range,https://bestev4me.eu/ev-catalog/1787/nio-et5-long-range-2022
500.0,19.0,94.9,7,5.1,77100,Nemčija,2026,Audi,Q6 Sportback e-tron quattro,https://bestev4me.eu/ev-catalog/3488/audi-q6-sportback-e-tron-quattro-2026
500.0,17.2,86.0,8,5.4,63155,Nemčija,2024,Volkswagen,ID.7 GTX,https://bestev4me.eu/ev-catalog/2216/volkswagen-id7-gtx-2024
500.0,21.8,108.9,10,3.8,124900,Nemčija,2025,BMW,iX M70 xDrive,https://bestev4me.eu/ev-catalog/3111/bmw-ix-m70-xdrive-2025
500.0,19.0,94.9,7,5.9,77100,Nemčija,2024,Audi,Q6 Sportback e-tron quattro,https://bestev4me.eu/ev-catalog/3043/audi-q6-sportback-e-tron-quattro-2024
495.0,19.0,94.0,9,7.1,61900,Švedska,2026,Polestar,4 Coupé Rear Motor,https://bestev4me.eu/ev-catalog/3606/polestar-4-coupe-rear-motor-2026
495.0,19.0,94.0,9,7.4,63200,Švedska,2024,Polestar,4 Long Range Single Motor,https://bestev4me.eu/ev-catalog/1841/polestar-4-long-range-single-motor-2024
495.0,14.9,74.0,5,7.4,54000,Južna Koreja,2022,Hyundai,IONIQ 6 Long Range 2WD,https://bestev4me.eu/ev-catalog/1718/hyundai-ioniq-6-long-range-2wd-2022
495.0,22.0,109.0,6,4.5,96990,Združeno kraljestvo,2023,Lotus,Eletre,https://bestev4me.eu/ev-catalog/1767/lotus-eletre-2023
495.0,16.0,79.0,10,5.6,50970,ZDA,2025,Tesla,Model Y Premium RWD,https://bestev4me.eu/ev-catalog/3476/tesla-model-y-premium-rwd-2025
495.0,19.2,94.9,7,4.3,96200,Nemčija,2024,Audi,SQ6 Sportback e-tron,https://bestev4me.eu/ev-catalog/3044/audi-sq6-sportback-e-tron-2024
495.0,19.2,94.9,7,5.7,81200,Nemčija,2025,Porsche,Macan Electric,https://bestev4me.eu/ev-catalog/3378/porsche-macan-electric-2025
495.0,16.4,81.3,9,5.1,64100,Nemčija,2025,BMW,i4 xDrive40,https://bestev4me.eu/ev-catalog/3206/bmw-i4-xdrive40-2025
495.0,22.0,109.0,6,4.5,99990,Združeno kraljestvo,2025,Lotus,Eletre 600,https://bestev4me.eu/ev-catalog/3216/lotus-eletre-600-2025
495.0,16.6,82.3,6,4.8,101500,Nemčija,2024,Porsche,Taycan,https://bestev4me.eu/ev-catalog/2098/porsche-taycan-2024
495.0,21.8,108.0,5,2.5,165500,Nemčija,2025,Porsche,Cayenne Turbo Electric,https://bestev4me.eu/ev-catalog/3399/porsche-cayenne-turbo-electric-2025
495.0,15.2,75.0,8,5.9,,ZDA,2023,Tesla,Model 3 Long Range RWD,https://bestev4me.eu/ev-catalog/1976/tesla-model-3-long-range-rwd-2023
495.0,19.2,94.9,7,5.7,80700,Nemčija,2024,Porsche,Macan Electric,https://bestev4me.eu/ev-catalog/2083/porsche-macan-electric-2024
495.0,20.9,103.5,8,6.3,,Kitajska,2025,Hongqi,E-HS7 111 kWh Long Range,https://bestev4me.eu/ev-catalog/3264/hongqi-e-hs7-111-kwh-long-range-2025
490.0,20.8,101.7,9,3.7,181800,Nemčija,2023,BMW,i7 M70 xDrive,https://bestev4me.eu/ev-catalog/1838/bmw-i7-m70-xdrive-2023
490.0,17.3,85.0,10,7.5,40118,Turčija,2025,TOGG,T10F Long Range RWD,https://bestev4me.eu/ev-catalog/3305/togg-t10f-long-range-rwd-2025
490.0,22.1,108.4,9,5.2,124545,Nemčija,2022,Mercedes-Benz,EQS SUV 500 4MATIC,https://bestev4me.eu/ev-catalog/1795/mercedes-benz-eqs-suv-500-4matic-2022
490.0,19.8,96.9,10,8.8,51750,Nemčija,2025,Opel,Grandland Electric 97 kWh,https://bestev4me.eu/ev-catalog/3364/opel-grandland-electric-97-kwh-2025
490.0,17.6,86.0,9,6.7,60400,Češka,2026,Skoda,Peaq 90x,https://bestev4me.eu/ev-catalog/3660/skoda-peaq-90x-2026
490.0,19.4,95.0,9,3.9,115970,ZDA,2025,Tesla,Model X AWD,https://bestev4me.eu/ev-catalog/3385/tesla-model-x-awd-2025
490.0,22.1,108.4,9,6.0,114609,Nemčija,2022,Mercedes-Benz,EQS SUV 450 4MATIC,https://bestev4me.eu/ev-catalog/1674/mercedes-benz-eqs-suv-450-4matic-2022
490.0,15.3,75.0,8,3.4,58470,ZDA,2024,Tesla,Model 3 Performance,https://bestev4me.eu/ev-catalog/2188/tesla-model-3-performance-2024
490.0,15.5,76.0,8,4.4,55260,ZDA,2021,Tesla,Model 3 Long Range AWD,https://bestev4me.eu/ev-catalog/1525/tesla-model-3-long-range-awd-2021
490.0,16.8,82.3,6,4.6,106200,Nemčija,2024,Porsche,Taycan 4,https://bestev4me.eu/ev-catalog/3060/porsche-taycan-4-2024
490.0,18.6,91.0,6,4.7,68990,Švedska,2027,Volvo,EX60 Cross Country P10 AWD,https://bestev4me.eu/ev-catalog/3444/volvo-ex60-cross-country-p10-awd-2027
490.0,18.4,90.0,8,5.1,76180,Južna Koreja,2025,Genesis,G80 Electrified,https://bestev4me.eu/ev-catalog/3238/genesis-g80-electrified-2025
490.0,19.7,96.5,5,3.2,58000,Kitajska,2025,MG,IM5 Performance,https://bestev4me.eu/ev-catalog/3246/mg-im5-performance-2025
490.0,24.1,118.0,10,4.4,200634,Nemčija,2024,Mercedes-Benz,EQS SUV Maybach 680,https://bestev4me.eu/ev-catalog/2086/mercedes-benz-eqs-suv-maybach-680-2024
490.0,18.8,92.2,4,6.4,63600,Kitajska,2025,XPENG,G9 RWD Long Range,https://bestev4me.eu/ev-catalog/3278/xpeng-g9-rwd-long-range-2025
490.0,15.9,78.0,10,6.5,48730,Južna Koreja,2026,Kia,EV4 Hatchback 81.4 kWh AWD,https://bestev4me.eu/ev-catalog/3667/kia-ev4-hatchback-814-kwh-awd-2026
485.0,19.4,94.0,10,3.8,69900,Švedska,2026,Polestar,4 Coupé Dual Motor,https://bestev4me.eu/ev-catalog/3607/polestar-4-coupe-dual-motor-2026
485.0,16.3,79.0,9,7.0,45990,Španija,2026,CUPRA,Born 170 kW - 79 kWh,https://bestev4me.eu/ev-catalog/3512/cupra-born-170-kw-79-kwh-2026
485.0,21.7,105.2,10,3.8,136100,Nemčija,2022,BMW,iX M60,https://bestev4me.eu/ev-catalog/1590/bmw-ix-m60-2022
490.0,15.5,76.0,8,4.4,55260,ZDA,2021,Tesla,Model 3 Long Range AWD,https://bestev4me.eu/ev-catalog/1591/tesla-model-3-long-range-awd-2021
485.0,22.4,108.4,9,4.6,135434,Nemčija,2022,Mercedes-Benz,EQS SUV 580 4MATIC,https://bestev4me.eu/ev-catalog/1675/mercedes-benz-eqs-suv-580-4matic-2022
485.0,22.1,107.0,10,4.9,96800,Švedska,2022,Volvo,EX90 Twin Motor Performance,https://bestev4me.eu/ev-catalog/1776/volvo-ex90-twin-motor-performance-2022
485.0,17.3,83.7,6,5.4,98863,Nemčija,2023,Porsche,Taycan Plus,https://bestev4me.eu/ev-catalog/1924/porsche-taycan-plus-2023
485.0,19.6,95.0,9,3.9,115970,ZDA,2023,Tesla,Model X Dual Motor,https://bestev4me.eu/ev-catalog/1407/tesla-model-x-dual-motor-2023
485.0,19.6,95.0,13,4.3,108420,ZDA,2017,Tesla,Model S 100D,https://bestev4me.eu/ev-catalog/1088/tesla-model-s-100d-2017
485.0,19.8,96.0,5,3.8,65950,Kitajska,2025,Zeekr,7X Privilege AWD,https://bestev4me.eu/ev-catalog/3083/zeekr-7x-privilege-awd-2025
485.0,18.6,90.0,9,4.0,68500,Kitajska,2023,NIO,ET5 Touring Long Range,https://bestev4me.eu/ev-catalog/1916/nio-et5-touring-long-range-2023
485.0,20.0,96.9,10,8.8,49690,Francija,2025,Citroen,C5 Aircross Long Range,https://bestev4me.eu/ev-catalog/3231/citroen-c5-aircross-long-range-2025
485.0,20.0,96.9,10,9.6,55350,Francija,2024,Peugeot,e-5008 97 kWh Long Range,https://bestev4me.eu/ev-catalog/2151/peugeot-e-5008-97-kwh-long-range-2024
485.0,20.0,97.0,5,2.5,211300,Nemčija,2024,Porsche,Taycan Turbo S Cross Turismo,https://bestev4me.eu/ev-catalog/2113/porsche-taycan-turbo-s-cross-turismo-2024
485.0,20.6,100.0,10,8.4,83700,Švedska,2023,Volvo,EX90 Single Motor,https://bestev4me.eu/ev-catalog/1950/volvo-ex90-single-motor-2023
480.0,16.2,78.0,15,7.8,46500,Japonska,2025,Mazda,6e Long Range 80 kWh,https://bestev4me.eu/ev-catalog/3108/mazda-6e-long-range-80-kwh-2025
480.0,20.8,100.0,17,4.4,,Kitajska,2023,Voyah,Free 106 kWh,https://bestev4me.eu/ev-catalog/2049/voyah-free-106-kwh-2023
480.0,22.7,109.0,6,4.5,121990,Združeno kraljestvo,2023,Lotus,Eletre S,https://bestev4me.eu/ev-catalog/2066/lotus-eletre-s-2023
480.0,20.4,98.0,11,4.6,90990,ZDA,2020,Tesla,Model X Long Range Plus,https://bestev4me.eu/ev-catalog/1325/tesla-model-x-long-range-plus-2020
480.0,18.1,87.0,12,7.9,47900,Francija,2025,Renault,Scenic E-Tech EV87 220hp,https://bestev4me.eu/ev-catalog/3219/renault-scenic-e-tech-ev87-220hp-2025
480.0,19.8,94.9,7,5.1,74700,Nemčija,2026,Audi,Q6 SUV e-tron quattro,https://bestev4me.eu/ev-catalog/3487/audi-q6-suv-e-tron-quattro-2026
480.0,18.1,87.0,12,7.9,48900,Francija,2023,Renault,Scenic E-Tech EV87 220hp,https://bestev4me.eu/ev-catalog/2069/renault-scenic-e-tech-ev87-220hp-2023
480.0,19.0,91.0,11,5.9,58500,ZDA,2024,Ford,Mustang Mach-E ER RWD,https://bestev4me.eu/ev-catalog/2278/ford-mustang-mach-e-er-rwd-2024
480.0,17.2,82.5,11,5.9,49990,Kitajska,2026,BYD,SEAL 82.5 kWh RWD Design,https://bestev4me.eu/ev-catalog/3515/byd-seal-825-kwh-rwd-design-2026
480.0,18.2,87.5,7,6.7,47600,Kitajska,2024,XPENG,G6 RWD Long Range,https://bestev4me.eu/ev-catalog/2182/xpeng-g6-rwd-long-range-2024
480.0,16.9,81.2,9,6.0,70200,Nemčija,2025,BMW,i5 eDrive40 Sedan,https://bestev4me.eu/ev-catalog/3112/bmw-i5-edrive40-sedan-2025
480.0,19.0,91.0,15,7.0,62950,ZDA,2022,Ford,Mustang Mach-E ER RWD,https://bestev4me.eu/ev-catalog/1669/ford-mustang-mach-e-er-rwd-2022
480.0,19.0,91.0,11,7.0,58500,ZDA,2023,Ford,Mustang Mach-E ER RWD,https://bestev4me.eu/ev-catalog/2035/ford-mustang-mach-e-er-rwd-2023
480.0,19.0,91.0,15,7.0,62950,ZDA,2022,Ford,Mustang Mach-E ER RWD,https://bestev4me.eu/ev-catalog/1754/ford-mustang-mach-e-er-rwd-2022
480.0,22.3,107.0,10,4.7,88190,Švedska,2022,Polestar,3 Long Range Performance,https://bestev4me.eu/ev-catalog/1759/polestar-3-long-range-performance-2022
480.0,19.4,93.1,6,6.4,63600,Kitajska,2023,XPENG,G9 RWD Long Range,https://bestev4me.eu/ev-catalog/1825/xpeng-g9-rwd-long-range-2023
480.0,21.3,102.0,7,5.5,96190,Švedska,2025,Volvo,EX90 Twin Motor,https://bestev4me.eu/ev-catalog/3324/volvo-ex90-twin-motor-2025
480.0,18.1,87.0,12,7.9,47990,Japonska,2025,Mitsubishi,Eclipse Cross 87 kWh,https://bestev4me.eu/ev-catalog/3335/mitsubishi-eclipse-cross-87-kwh-2025
480.0,17.2,82.5,11,5.9,48990,Kitajska,2023,BYD,SEAL 82.5 kWh RWD Design,https://bestev4me.eu/ev-catalog/2001/byd-seal-825-kwh-rwd-design-2023
480.0,22.1,106.0,10,4.5,100350,Nemčija,2023,Audi,SQ8 Sportback e-tron,https://bestev4me.eu/ev-catalog/1774/audi-sq8-sportback-e-tron-2023
480.0,19.6,94.0,10,3.8,71950,Kitajska,2023,Zeekr,001 Privilege AWD,https://bestev4me.eu/ev-catalog/1935/zeekr-001-privilege-awd-2023
480.0,17.4,83.7,6,4.0,120081,Nemčija,2023,Porsche,Taycan 4S Plus,https://bestev4me.eu/ev-catalog/1926/porsche-taycan-4s-plus-2023
480.0,19.6,94.0,10,3.8,66950,Kitajska,2023,Zeekr,001 Performance AWD,https://bestev4me.eu/ev-catalog/1934/zeekr-001-performance-awd-2023
475.0,16.6,79.0,9,4.8,54970,ZDA,2025,Tesla,Model Y Premium AWD,https://bestev4me.eu/ev-catalog/3333/tesla-model-y-premium-awd-2025
475.0,16.6,79.0,10,6.2,52690,Švedska,2024,Polestar,2 Long Range Single Motor,https://bestev4me.eu/ev-catalog/2226/polestar-2-long-range-single-motor-2024
475.0,20.2,96.0,10,6.9,86811,Nemčija,2023,Mercedes-Benz,EQE SUV 350+,https://bestev4me.eu/ev-catalog/2046/mercedes-benz-eqe-suv-350-2023
475.0,16.6,79.0,10,5.6,50990,Španija,2026,CUPRA,Born VZ,https://bestev4me.eu/ev-catalog/3513/cupra-born-vz-2026
475.0,16.6,79.0,8,7.1,44025,Nemčija,2025,Volkswagen,ID.3 Pro S,https://bestev4me.eu/ev-catalog/3334/volkswagen-id3-pro-s-2025
475.0,18.4,87.5,7,4.1,51600,Kitajska,2024,XPENG,G6 AWD Performance,https://bestev4me.eu/ev-catalog/2183/xpeng-g6-awd-performance-2024
475.0,18.0,85.4,14,3.9,69020,Kitajska,2023,BYD,HAN,https://bestev4me.eu/ev-catalog/1784/byd-han-2023
475.0,19.4,92.2,4,4.2,72600,Kitajska,2025,XPENG,G9 AWD Performance,https://bestev4me.eu/ev-catalog/3279/xpeng-g9-awd-performance-2025
475.0,16.6,79.0,10,6.2,52690,Švedska,2025,Polestar,2 Long Range Single Motor,https://bestev4me.eu/ev-catalog/3151/polestar-2-long-range-single-motor-2025
475.0,20.2,96.0,6,6.5,55400,Nemčija,2025,Smart,#5 Premium,https://bestev4me.eu/ev-catalog/3143/smart-5-premium-2025
475.0,20.2,96.0,6,6.5,50900,Nemčija,2025,Smart,#5 Pro+,https://bestev4me.eu/ev-catalog/3142/smart-5-pro-2025
475.0,20.4,97.0,5,2.2,240000,Nemčija,2024,Porsche,Taycan Turbo GT Weissach,https://bestev4me.eu/ev-catalog/2145/porsche-taycan-turbo-gt-weissach-2024
475.0,20.4,97.0,5,2.3,240000,Nemčija,2024,Porsche,Taycan Turbo GT,https://bestev4me.eu/ev-catalog/2144/porsche-taycan-turbo-gt-2024
475.0,16.2,77.0,9,6.5,53995,Nemčija,2023,Volkswagen,ID.7 Pro,https://bestev4me.eu/ev-catalog/1839/volkswagen-id7-pro-2023
475.0,16.2,77.0,9,6.5,54505,Nemčija,2026,Volkswagen,ID.7 77 kWh,https://bestev4me.eu/ev-catalog/3599/volkswagen-id7-77-kwh-2026
475.0,17.6,83.7,6,5.4,94123,Nemčija,2021,Porsche,Taycan Plus,https://bestev4me.eu/ev-catalog/1394/porsche-taycan-plus-2021
475.0,15.5,73.5,8,5.3,,ZDA,2019,Tesla,Model 3 Long Range RWD,https://bestev4me.eu/ev-catalog/1100/tesla-model-3-long-range-rwd-2019
475.0,20.3,96.3,9,8.3,,ZDA,2026,Jeep,Compass Electric Long Range,https://bestev4me.eu/ev-catalog/3661/jeep-compass-electric-long-range-2026
475.0,20.0,95.0,13,2.7,145420,ZDA,2016,Tesla,Model S P100D,https://bestev4me.eu/ev-catalog/1075/tesla-model-s-p100d-2016
475.0,19.6,93.0,4,8.2,77600,Kitajska,2026,XPENG,X9 FWD Standard Range,https://bestev4me.eu/ev-catalog/3611/xpeng-x9-fwd-standard-range-2026
470.0,18.9,89.0,11,4.8,67500,Francija,2025,Alpine,A390 GT,https://bestev4me.eu/ev-catalog/3390/alpine-a390-gt-2025
470.0,15.7,74.0,12,7.2,47970,ZDA,2025,Tesla,Model Y Long Range RWD,https://bestev4me.eu/ev-catalog/3417/tesla-model-y-long-range-rwd-2025
470.0,17.3,81.2,9,6.0,70200,Nemčija,2023,BMW,i5 eDrive40 Sedan,https://bestev4me.eu/ev-catalog/1906/bmw-i5-edrive40-sedan-2023
470.0,20.2,94.9,8,4.1,91200,Nemčija,2025,Porsche,Macan 4S Electric,https://bestev4me.eu/ev-catalog/3380/porsche-macan-4s-electric-2025
470.0,18.9,89.0,9,3.9,78000,Francija,2026,Alpine,A390 GTS,https://bestev4me.eu/ev-catalog/3391/alpine-a390-gts-2026
470.0,16.4,77.0,9,6.6,54905,Nemčija,2025,Volkswagen,ID.7 Tourer Pro,https://bestev4me.eu/ev-catalog/3259/volkswagen-id7-tourer-pro-2025
470.0,22.0,103.5,8,3.9,,Kitajska,2025,Hongqi,E-HS7 111 kWh AWD Pro,https://bestev4me.eu/ev-catalog/3265/hongqi-e-hs7-111-kwh-awd-pro-2025
470.0,16.8,79.0,8,5.4,60850,Češka,2025,Skoda,Enyaq Coupe RS,https://bestev4me.eu/ev-catalog/3377/skoda-enyaq-coupe-rs-2025
470.0,20.2,94.9,8,5.2,84600,Nemčija,2025,Porsche,Macan 4 Electric,https://bestev4me.eu/ev-catalog/3379/porsche-macan-4-electric-2025
470.0,16.8,79.0,10,6.4,,ZDA,2026,Ford,Capri Extended Range RWD,https://bestev4me.eu/ev-catalog/3648/ford-capri-extended-range-rwd-2026
470.0,16.8,79.0,8,7.1,47350,Španija,2025,CUPRA,Born 170 kW - 79 kWh,https://bestev4me.eu/ev-catalog/3263/cupra-born-170-kw-79-kwh-2025
470.0,16.8,79.0,8,5.4,60850,Češka,2025,Skoda,Enyaq Coupe RS,https://bestev4me.eu/ev-catalog/3185/skoda-enyaq-coupe-rs-2025
470.0,16.8,79.0,8,5.9,47225,Nemčija,2024,Volkswagen,ID.3 GTX,https://bestev4me.eu/ev-catalog/2152/volkswagen-id3-gtx-2024
470.0,20.2,94.9,8,4.3,93800,Nemčija,2024,Audi,SQ6 SUV e-tron,https://bestev4me.eu/ev-catalog/2147/audi-sq6-suv-e-tron-2024
470.0,16.4,77.0,9,6.6,55305,Nemčija,2026,Volkswagen,ID.7 Tourer 77 kWh,https://bestev4me.eu/ev-catalog/3603/volkswagen-id7-tourer-77-kwh-2026
470.0,16.8,79.0,10,6.4,,ZDA,2026,Ford,Capri Extended Range RWD,https://bestev4me.eu/ev-catalog/3452/ford-capri-extended-range-rwd-2026
470.0,20.9,98.0,11,3.1,107990,ZDA,2020,Tesla,Model X Performance,https://bestev4me.eu/ev-catalog/1326/tesla-model-x-performance-2020
470.0,16.4,77.0,9,6.6,54795,Nemčija,2024,Volkswagen,ID.7 Tourer Pro,https://bestev4me.eu/ev-catalog/2118/volkswagen-id7-tourer-pro-2024
470.0,20.2,94.9,8,5.2,84100,Nemčija,2024,Porsche,Macan 4 Electric,https://bestev4me.eu/ev-catalog/2084/porsche-macan-4-electric-2024
470.0,16.4,77.0,8,7.9,,Japonska,2026,Mazda,6e 78 kWh,https://bestev4me.eu/ev-catalog/3466/mazda-6e-78-kwh-2026
470.0,16.2,76.0,8,3.6,59560,ZDA,2020,Tesla,Model 3 Performance,https://bestev4me.eu/ev-catalog/1322/tesla-model-3-performance-2020
465.0,20.7,96.1,9,5.4,54900,ZDA,2026,Jeep,Compass Electric 4xe,https://bestev4me.eu/ev-catalog/3662/jeep-compass-electric-4xe-2026
465.0,20.4,94.9,8,3.3,114600,Nemčija,2024,Porsche,Macan Turbo Electric,https://bestev4me.eu/ev-catalog/2085/porsche-macan-turbo-electric-2024
465.0,17.5,81.3,9,3.7,72900,Nemčija,2025,BMW,i4 M60 xDrive,https://bestev4me.eu/ev-catalog/3207/bmw-i4-m60-xdrive-2025
465.0,21.9,102.0,12,4.5,379015,Združeno kraljestvo,2023,Rolls-Royce,Spectre,https://bestev4me.eu/ev-catalog/1765/rolls-royce-spectre-2023
465.0,17.0,79.0,10,6.7,49455,Nemčija,2026,Volkswagen,ID.5 Pro,https://bestev4me.eu/ev-catalog/3500/volkswagen-id5-pro-2026
465.0,16.3,75.8,7,6.0,64450,Nemčija,2024,Audi,A6 Avant e-tron,https://bestev4me.eu/ev-catalog/3055/audi-a6-avant-e-tron-2024
465.0,20.4,94.9,8,3.8,104200,Nemčija,2025,Porsche,Macan GTS Electric,https://bestev4me.eu/ev-catalog/3381/porsche-macan-gts-electric-2025
465.0,20.4,95.0,10,2.9,125970,ZDA,2022,Tesla,Model X Plaid,https://bestev4me.eu/ev-catalog/1408/tesla-model-x-plaid-2022
465.0,18.3,85.0,6,7.4,59048,Nemčija,2025,Mercedes-Benz,GLB 250+,https://bestev4me.eu/ev-catalog/3406/mercedes-benz-glb-250-2025
465.0,20.4,94.9,8,3.3,115500,Nemčija,2025,Porsche,Macan Turbo Electric,https://bestev4me.eu/ev-catalog/3382/porsche-macan-turbo-electric-2025
465.0,20.0,93.1,6,3.9,71600,Kitajska,2023,XPENG,G9 AWD Performance,https://bestev4me.eu/ev-catalog/1826/xpeng-g9-awd-performance-2023
465.0,17.5,81.2,9,5.4,75600,Nemčija,2025,BMW,i5 xDrive40 Sedan,https://bestev4me.eu/ev-catalog/3113/bmw-i5-xdrive40-sedan-2025
465.0,18.3,85.0,11,4.1,48600,Turčija,2025,TOGG,T10F Long Range AWD,https://bestev4me.eu/ev-catalog/3306/togg-t10f-long-range-awd-2025
465.0,16.6,77.0,10,6.3,55950,Češka,2026,Skoda,Enyaq Coupe 85x,https://bestev4me.eu/ev-catalog/3575/skoda-enyaq-coupe-85x-2026
465.0,21.3,98.9,4,2.8,145990,Združeno kraljestvo,2025,Lotus,Emeya 900,https://bestev4me.eu/ev-catalog/3215/lotus-emeya-900-2025
465.0,17.0,79.0,8,5.6,48725,Nemčija,2024,Volkswagen,ID.3 GTX Performance,https://bestev4me.eu/ev-catalog/2153/volkswagen-id3-gtx-performance-2024
465.0,18.3,85.0,8,5.9,64736,Nemčija,2026,Mercedes-Benz,GLC 250,https://bestev4me.eu/ev-catalog/3653/mercedes-benz-glc-250-2026
465.0,15.5,72.0,9,4.4,53560,ZDA,2020,Tesla,Model 3 Long Range AWD,https://bestev4me.eu/ev-catalog/1321/tesla-model-3-long-range-awd-2020
465.0,17.0,79.0,8,5.6,52870,Španija,2024,CUPRA,Born VZ,https://bestev4me.eu/ev-catalog/2128/cupra-born-vz-2024
465.0,21.3,98.9,4,2.8,150990,Združeno kraljestvo,2024,Lotus,Emeya R,https://bestev4me.eu/ev-catalog/2143/lotus-emeya-r-2024
460.0,20.9,96.0,6,4.9,56900,Nemčija,2025,Smart,#5 Summit Edition,https://bestev4me.eu/ev-catalog/3145/smart-5-summit-edition-2025
460.0,17.2,79.0,9,3.8,63970,ZDA,2025,Tesla,Model Y Performance,https://bestev4me.eu/ev-catalog/3269/tesla-model-y-performance-2025
460.0,18.0,82.7,9,4.1,58600,Kitajska,2023,XPENG,P7 AWD Performance,https://bestev4me.eu/ev-catalog/1822/xpeng-p7-awd-performance-2023
460.0,24.3,112.0,15,4.9,102995,Kitajska,2023,Hongqi,E-HS9 120 kWh,https://bestev4me.eu/ev-catalog/2050/hongqi-e-hs9-120-kwh-2023
460.0,16.3,75.1,10,7.6,41200,Japonska,2025,Nissan,LEAF Extended Range 75 kWh,https://bestev4me.eu/ev-catalog/3366/nissan-leaf-extended-range-75-kwh-2025
460.0,17.2,79.0,9,5.4,58600,Češka,2025,Skoda,Enyaq RS,https://bestev4me.eu/ev-catalog/3375/skoda-enyaq-rs-2025
460.0,16.7,77.0,9,6.7,53750,Češka,2025,Skoda,Enyaq Coupe 85x,https://bestev4me.eu/ev-catalog/3376/skoda-enyaq-coupe-85x-2025
460.0,23.7,108.8,15,4.9,69615,Kitajska,2024,BYD,TANG Flagship,https://bestev4me.eu/ev-catalog/2095/byd-tang-flagship-2024
460.0,22.2,102.0,9,5.3,83000,ZDA,2024,Cadillac,LYRIQ 600 E4,https://bestev4me.eu/ev-catalog/2243/cadillac-lyriq-600-e4-2024
460.0,18.2,83.7,6,4.0,114389,Nemčija,2020,Porsche,Taycan 4S Plus,https://bestev4me.eu/ev-catalog/1238/porsche-taycan-4s-plus-2020
460.0,16.3,75.0,9,3.6,57668,ZDA,2022,Tesla,Model 3 Performance,https://bestev4me.eu/ev-catalog/1620/tesla-model-3-performance-2022
460.0,17.2,79.0,9,5.4,58600,Češka,2025,Skoda,Enyaq RS,https://bestev4me.eu/ev-catalog/3184/skoda-enyaq-rs-2025
460.0,19.3,89.0,7,4.2,94900,ZDA,2025,Lucid,Gravity Touring,https://bestev4me.eu/ev-catalog/3291/lucid-gravity-touring-2025
460.0,16.7,77.0,9,7.0,47250,Španija,2024,CUPRA,Born 170 kW - 77 kWh,https://bestev4me.eu/ev-catalog/2234/cupra-born-170-kw-77-kwh-2024
460.0,16.7,77.0,10,5.4,61600,Češka,2026,Skoda,Enyaq Coupe RS,https://bestev4me.eu/ev-catalog/3576/skoda-enyaq-coupe-rs-2026
